Date,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023
01-01,40.9,25.9,21.0,23.0,1,40.9,1,21.9,17.0,1,15.0,53.0,17.0,1,1
01-02,36.9,1,25.1,21.9,25.9,19.0,1,21.9,1,1,21.0,19.9,27.1,28.0,1
01-03,1,1,23.0,28.0,21.9,40.9,1,29.1,1,28.0,21.9,33.1,33.1,23.0,1
01-04,1,19.9,13.0,25.1,17.9,35.1,1,12.1,1,18.1,19.9,40.9,21.9,46.1,19.9
01-05,46.1,28.0,28.0,23.9,17.0,25.1,1,14.1,1,18.1,23.0,38.0,38.0,1,17.0
01-06,31.1,1,25.1,19.9,17.9,28.0,1,17.0,1,18.1,33.1,47.0,21.9,1,17.0
01-07,1,1,17.9,1,19.9,36.0,1,1,17.0,1,53.9,38.0,19.0,21.9,19.9
01-08,36.0,17.0,1,17.9,34.9,19.9,1,1,25.1,16.1,29.1,34.0,19.0,21.9,34.0
01-09,46.1,32.0,1,17.0,30.0,21.9,1,1,53.0,21.0,13.0,42.1,1,1,23.9
01-10,23.0,17.9,1,32.0,38.0,38.0,1,1,47.0,1,21.9,27.1,1,21.9,34.0
01-11,33.1,23.9,1,1,1,32.0,19.9,21.9,29.1,23.9,1,23.0,19.0,23.0,1
01-12,1,1,1,17.0,1,44.1,1,21.9,29.1,1,1,23.9,25.1,18.1,1
01-13,30.0,19.9,23.0,33.1,1,38.9,1,23.9,1,18.1,15.0,40.0,57.9,19.9,13.0
01-14,1,13.0,17.0,32.0,1,33.1,16.1,38.0,1,29.1,21.9,33.1,57.9,49.0,21.9
01-15,1,21.0,19.9,28.0,17.9,36.0,21.0,1,1,1,25.9,36.9,31.1,25.9,1
01-16,19.9,14.1,29.1,1,17.9,25.1,33.1,17.0,1,18.1,19.0,34.0,27.1,30.0,1
01-17,21.0,15.0,1,1,17.0,15.0,45.0,1,16.1,15.0,28.0,45.0,28.0,19.0,1
01-18,33.1,17.9,21.9,38.0,19.9,23.9,28.0,16.1,19.0,21.9,1,23.0,27.1,18.1,1
01-19,49.0,15.0,1,1,23.0,23.9,25.9,1,15.0,21.9,18.1,17.0,19.0,1,21.0
01-20,21.9,17.0,28.0,42.9,25.9,25.9,1,25.9,1,1,25.9,19.0,38.0,1,1
01-21,25.9,17.9,36.0,1,21.9,32.0,1,19.0,13.0,1,1,13.0,23.9,1,1
12-15,1,23.9,1,23.0,1,0.0,1,1,25.1,25.1,25.1,1,1,1,32.0
12-16,1,21.9,23.0,17.0,1,0.0,16.1,21.9,1,23.0,21.0,1,23.9,21.9,36.9
12-17,19.9,25.1,1,12.1,40.9,0.0,1,1,1,1,16.1,25.9,25.1,33.1,23.9
12-18,1,19.9,1,16.1,1,0.0,1,21.0,18.1,21.9,21.0,25.9,1,15.0,23.9
12-19,34.9,17.9,16.1,1,1,0.0,1,31.1,23.0,25.1,42.1,16.1,42.9,23.0,36.9
12-20,1,21.0,30.0,21.0,23.9,0.0,17.0,38.9,36.9,32.0,19.0,21.9,38.9,21.0,21.0
12-21,17.9,30.0,13.0,1,25.1,0.0,1,1,42.1,1,42.9,33.1,30.0,28.0,1
12-22,17.9,1,1,1,21.0,0.5,1,1,14.1,23.0,29.1,25.1,59.9,21.9,1
12-23,1,1,1,25.1,28.0,0.5,52.1,1,32.0,1,19.0,16.1,46.1,33.1,23.0
12-24,25.1,1,14.1,16.1,1,0.0,25.9,34.0,23.9,1,17.0,15.0,23.0,25.1,18.1
12-25,36.9,1,19.9,21.0,1,0.0,1,1,1,1,18.1,23.0,25.9,25.9,30.0
12-26,36.9,1,14.1,21.9,1,0.0,1,1,25.1,1,1,1,33.1,46.1,1
12-27,36.0,15.0,30.0,23.9,1,0.0,21.0,23.0,34.0,1,38.9,1,35.1,40.9,44.1
12-28,36.0,25.9,25.9,36.9,17.0,0.0,1,1,28.0,28.0,17.0,1,1,27.1,1
12-29,30.0,1,33.1,47.0,21.9,1.0,1,1,19.9,1,19.9,21.0,1,21.9,1
12-30,47.0,17.0,1,21.0,32.0,0.0,1,1,40.9,1,27.1,21.9,21.9,1,21.9
12-31,23.0,1,1,1,13.0,25.1,18.1,1,23.9,19.9,1,25.1,13.0,1,23.0
