Date,TMAX,TMIN,TAVG
2008-12-15,10298,-244,857.3
2008-12-16,10146,-144,944.9409090909091
2008-12-17,10149,-106,1026.5285714285715
2008-12-18,10108,-78,780.5558620689656
2008-12-19,10108,-100,1072.9761904761904
2008-12-20,10173,-161,1030.1000000000001
2008-12-21,10278,-178,1031.3857142857141
2008-12-22,10054,-144,1126.9761904761904
2008-12-23,10024,-106,989.9375
2008-12-24,10125,-167,1028.2809523809524
2008-12-25,10010,-83,1136.009523809524
2008-12-26,9963,-67,976.9142857142857
2008-12-27,10119,-150,1152.3095238095239
2008-12-28,10166,-78,1054.452380952381
2008-12-29,10166,-50,1042.9619047619046
2008-12-30,10159,-78,1050.852380952381
2008-12-31,10159,-94,1119.095238095238
2009-01-01,10051,-83,948.7428571428572
2009-01-02,9993,-67,973.0571428571429
2009-01-03,10075,-78,806.104
2009-01-04,10254,-133,960.6000000000001
2009-01-05,10071,-150,1077.6190476190477
2009-01-06,10044,-128,1068.4238095238095
2009-01-07,10030,-61,998.05
2009-01-08,10061,-61,1016.195238095238
2009-01-09,10152,-67,1073.0619047619048
2009-01-10,10251,-117,1149.9380952380952
2009-01-11,10210,-94,1088.6809523809522
2009-01-12,10254,-89,744.2714814814814
2009-01-13,10196,-72,1062.4333333333334
2009-01-14,10220,-44,949.6
2009-01-15,10278,-44,909.6000000000001
2009-01-16,10234,-89,1064.709523809524
2009-01-17,10251,-94,1060.557142857143
2009-01-18,10254,-122,1087.3619047619047
2009-01-19,10244,-122,1101.7523809523811
2009-01-20,10234,-133,1089.652380952381
2009-01-21,10142,-161,1001.3904761904764
2009-12-15,10217,-122,1111.5526315789475
2009-12-16,10190,-83,1165.8842105263159
2009-12-17,10193,-56,1169.4105263157894
2009-12-18,10234,-67,1149.6947368421054
2009-12-19,10203,-111,1094.2105263157894
2009-12-20,10176,-78,1135.6052631578948
2009-12-21,10098,-100,1107.5578947368422
2009-12-22,10054,-50,930.15
2009-12-23,10129,-72,977.3108695652174
2009-12-24,10203,-161,1004.4521739130436
2009-12-25,10142,-139,1051.742857142857
2009-12-26,10176,-83,825.0348148148149
2009-12-27,10257,-128,1248.7368421052631
2009-12-28,10295,-128,1145.6894736842107
2009-12-29,10156,-94,950.3142857142857
2009-12-30,10129,-106,1065.6684210526316
2009-12-31,10240,-128,1031.9909090909093
2010-01-01,10237,-106,1140.3105263157895
2010-01-02,10193,-61,998.7681818181819
2010-01-03,10261,-50,868.6478260869565
2010-01-04,10271,-94,1099.3842105263157
2010-01-05,10159,-61,1164.5105263157895
2010-01-06,10224,-122,780.6865384615382
2010-01-07,10362,-228,1080.9850000000001
2010-01-08,10298,-189,1215.9684210526316
2010-01-09,10254,-128,1241.0
2010-01-10,10264,-89,1138.221052631579
2010-01-11,10284,-78,1104.7736842105264
2010-01-12,10217,-89,1114.3700000000001
2010-01-13,10142,-78,1195.4368421052632
2010-01-14,10203,-50,1212.1315789473683
2010-01-15,10227,-56,1254.2894736842106
2010-01-16,10135,-56,1246.8684210526317
2010-01-17,10108,-44,1236.5526315789473
2010-01-18,10078,-33,1099.3105263157895
2010-01-19,10027,-33,1198.078947368421
2010-01-20,10003,-61,998.2526315789473
2010-01-21,9997,-61,1209.8736842105263
2010-12-15,1400,-72,146.18571428571425
2010-12-16,10173,-117,1175.4368421052634
2010-12-17,10190,-111,1056.338095238095
2010-12-18,10125,-111,989.2454545454547
2010-12-19,10030,-72,1090.7736842105262
2010-12-20,10014,-67,1071.3315789473686
2010-12-21,10179,-94,1039.957894736842
2010-12-22,10217,-78,978.6782608695652
