locationId,location,parameter,value,date,unit,coordinates,country,city,isMobile,isAnalysis,entity,sensorType
300,Glen Burnie,o3,0.04,"{'utc': '2023-08-31T23:00:00+00:00', 'local': '2023-08-31T19:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.043,"{'utc': '2023-08-31T22:00:00+00:00', 'local': '2023-08-31T18:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.043,"{'utc': '2023-08-31T21:00:00+00:00', 'local': '2023-08-31T17:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.044,"{'utc': '2023-08-31T20:00:00+00:00', 'local': '2023-08-31T16:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.047,"{'utc': '2023-08-31T19:00:00+00:00', 'local': '2023-08-31T15:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.045,"{'utc': '2023-08-31T18:00:00+00:00', 'local': '2023-08-31T14:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.039,"{'utc': '2023-08-31T17:00:00+00:00', 'local': '2023-08-31T13:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.036,"{'utc': '2023-08-31T16:00:00+00:00', 'local': '2023-08-31T12:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.033,"{'utc': '2023-08-31T15:00:00+00:00', 'local': '2023-08-31T11:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.028,"{'utc': '2023-08-31T14:00:00+00:00', 'local': '2023-08-31T10:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.024,"{'utc': '2023-08-31T13:00:00+00:00', 'local': '2023-08-31T09:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.02,"{'utc': '2023-08-31T12:00:00+00:00', 'local': '2023-08-31T08:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.02,"{'utc': '2023-08-31T11:00:00+00:00', 'local': '2023-08-31T07:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.021,"{'utc': '2023-08-31T10:00:00+00:00', 'local': '2023-08-31T06:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.024,"{'utc': '2023-08-31T09:00:00+00:00', 'local': '2023-08-31T05:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.026,"{'utc': '2023-08-31T08:00:00+00:00', 'local': '2023-08-31T04:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.026,"{'utc': '2023-08-31T07:00:00+00:00', 'local': '2023-08-31T03:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.025,"{'utc': '2023-08-31T06:00:00+00:00', 'local': '2023-08-31T02:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.023,"{'utc': '2023-08-31T05:00:00+00:00', 'local': '2023-08-31T01:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.024,"{'utc': '2023-08-31T04:00:00+00:00', 'local': '2023-08-31T00:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.025,"{'utc': '2023-08-31T03:00:00+00:00', 'local': '2023-08-30T23:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.025,"{'utc': '2023-08-31T02:00:00+00:00', 'local': '2023-08-30T22:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.028,"{'utc': '2023-08-31T01:00:00+00:00', 'local': '2023-08-30T21:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.032,"{'utc': '2023-08-31T00:00:00+00:00', 'local': '2023-08-30T20:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.038,"{'utc': '2023-08-30T23:00:00+00:00', 'local': '2023-08-30T19:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.045,"{'utc': '2023-08-30T22:00:00+00:00', 'local': '2023-08-30T18:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.048,"{'utc': '2023-08-30T21:00:00+00:00', 'local': '2023-08-30T17:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.05,"{'utc': '2023-08-30T20:00:00+00:00', 'local': '2023-08-30T16:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.051,"{'utc': '2023-08-30T19:00:00+00:00', 'local': '2023-08-30T15:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.055,"{'utc': '2023-08-30T18:00:00+00:00', 'local': '2023-08-30T14:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.054,"{'utc': '2023-08-30T17:00:00+00:00', 'local': '2023-08-30T13:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.05,"{'utc': '2023-08-30T16:00:00+00:00', 'local': '2023-08-30T12:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.046,"{'utc': '2023-08-30T15:00:00+00:00', 'local': '2023-08-30T11:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.036,"{'utc': '2023-08-30T14:00:00+00:00', 'local': '2023-08-30T10:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.022,"{'utc': '2023-08-30T13:00:00+00:00', 'local': '2023-08-30T09:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.007,"{'utc': '2023-08-30T12:00:00+00:00', 'local': '2023-08-30T08:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.002,"{'utc': '2023-08-30T11:00:00+00:00', 'local': '2023-08-30T07:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.001,"{'utc': '2023-08-30T10:00:00+00:00', 'local': '2023-08-30T06:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
